"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","189","2.952","22.8","18.5","20.1","14.3","19.6","4.2","0.5",".",".",".",".",".",".",".",".","."
"","002
103","195","2.987","26.2","14.4","19.5","20.0","15.9","2.1","1.5",".",".",".",".",".",".",".",".","0.5"
"General Physics","Course Total","384","2.970","24.5","16.4","19.8","17.2","17.7","3.1","1.0",".",".",".",".",".",".",".",".","0.3"
"","104
001","272","3.263","27.2","30.9","21.7","11.4","7.7","0.4","0.7",".",".",".",".",".",".",".",".","."
"","104
002","185","3.114","23.2","25.9","23.8","9.7","15.1","1.6","0.5",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","457","3.202","25.6","28.9","22.5","10.7","10.7","0.9","0.7",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","75","3.439","37.3","21.3","32.0","6.7","1.3",".",".",".",".",".",".",".",".",".",".","1.3"
"","109
001","110","2.872","13.6","12.7","31.8","23.6","13.6","3.6",".",".",".",".",".",".",".",".",".","0.9"
"","109
002","112","2.638","9.8","17.9","14.3","25.9","25.9","2.7","3.6",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","222","2.753","11.7","15.3","23.0","24.8","19.8","3.2","1.8",".",".",".",".",".",".",".",".","0.5"
"Energy","115
001","62","3.484","35.5","25.8","38.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Physics","201
001","205","3.066","22.9","24.4","23.9","15.1","6.8","6.3","0.5",".",".",".",".",".",".",".",".","."
"","202
001","162","2.923","19.1","16.7","25.9","19.8","13.0","4.3","1.2",".",".",".",".",".",".",".",".","."
"","202
002","160","2.903","20.0","13.8","24.4","18.1","20.6","2.5","0.6",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","322","2.913","19.6","15.2","25.2","18.9","16.8","3.4","0.9",".",".",".",".",".",".",".",".","."
"General Physics","207
001","133","3.155","22.6","27.1","21.8","18.8","6.8","2.3",".",".",".",".",".",".",".",".",".","0.8"
"General Physics","208
001","236","3.127","22.0","21.6","28.0","19.1","8.5","0.4","0.4",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","32","3.125","43.8","12.5","18.8",".","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"Modern Physics","244
001","45","3.489","51.1","26.7","8.9","4.4","4.4","4.4",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","33","3.439","42.4","24.2","18.2","9.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301
001","28","3.648","78.6","10.7",".",".",".",".","7.1",".",".",".",".",".",".","3.6",".","."
"","308
001","11","3.591","81.8","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","308
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
003","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","30","3.750","76.7","16.7","3.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","38","3.368","36.8","18.4","36.8","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","30","3.107","26.7","13.3","26.7","6.7","20.0",".",".",".",".",".",".",".",".",".","6.7","."
"Wave Motion and Optics","325
001","19","3.316","31.6","36.8","10.5","5.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371
001","14","3.393","28.6","35.7","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","407
001","10","3.615","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","29","2.983","27.6","24.1","10.3","6.9","24.1","6.9",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449
001","22","3.205","22.7","22.7","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472
001","14","3.385","35.7","14.3","28.6","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"","499
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
