"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
005","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
007","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
011","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
013","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
019","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
020","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
038","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
039","5","***","","","","","","","","","",".",".",".",".",".",".","."
"198
078","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
079","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"198
080","4","***","","","","","","","","","",".",".",".",".",".",".","."
"198
081","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"082
198","19","",".",".",".",".",".",".",".",".",".","78.9","21.1",".",".",".",".","."
"198
083","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"198
085","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
086","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"Course Total
Directed Study","176","",".",".",".",".",".",".",".",".",".","95.5","4.5",".",".",".",".","."
"199
061","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
062","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
063","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Directed Study","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","59","3.379","15.3","49.2","30.5","1.7","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","68","3.174","17.6","41.2","20.6","10.3","1.5","2.9","2.9","1.5",".",".",".",".",".",".",".","1.5"
"202
001
W Culture:Sci,Tech,Phil II","94","3.096","13.8","28.7","30.9","18.1","7.4","1.1",".",".",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","125","3.656","52.0","36.0","7.2","2.4","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","175","3.051","8.6","31.4","34.9","18.9","4.0","1.1","1.1",".",".",".",".",".",".",".",".","."
"234
001
Genres-Westrn Relig Writing","33","3.375","33.3","39.4","15.2","3.0",".","3.0","3.0",".",".",".",".",".","3.0",".",".","."
"251
001
Contemporary Phy Sciences","21","3.381","28.6","38.1","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"254
001
Literature and Science","7","2.857","14.3","28.6","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"275
001","60","3.471","36.7","30.0","15.0","1.7",".",".","3.3","11.7",".",".",".",".","1.7",".",".","."
"275
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Special Topics in ILS","78","3.600","50.0","24.4","11.5","1.3",".",".","2.6","9.0",".",".",".",".","1.3",".",".","."
"372
001
Interdis Studies-Soc Sciences","19","3.526","47.4","26.3","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","31","3.742","61.3","25.8","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
001
Global Culture Capstone Smr","54","3.991","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Rsch-Integrated LiberalStudies","18","3.963","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
