"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","140","2.589","11.4","4.3","27.9","10.7","37.1","4.3","0.7","3.6",".",".",".",".",".",".",".","."
"","100","002","136","2.504","10.3","5.1","33.1","8.8","32.4","5.1","5.1",".",".",".",".",".",".",".",".","."
"General Geology","","Course Total","276","2.546","10.9","4.7","30.4","9.8","34.8","4.7","2.9","1.8",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","29","3.190","31.0","17.2","31.0","6.9","10.3","3.4",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","89","2.691","10.1","12.4","32.6","15.7","21.3","5.6","2.2",".",".",".",".",".",".",".",".","."
"Life of the Past","107","001","61","2.648","13.1","14.8","23.0","16.4","23.0","4.9","4.9",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","202","2.652","23.3","5.4","23.8","8.4","25.2","8.9","4.5",".",".",".",".",".",".",".",".","0.5"
"Sci Behind News-Wrld Around Us","115","001","189","2.880","19.0","15.9","25.4","10.6","20.6","3.2","2.1","1.6",".",".",".",".","0.5","0.5",".","0.5"
"Monitoring Earth by Satellite","118","001","75","3.000","12.0","21.3","30.7","24.0","5.3","2.7",".","1.3",".",".",".",".",".","1.3","1.3","."
"","199","004","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","3.909","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Earth Materials","203","001","32","3.078","25.0","15.6","31.3","12.5","12.5","3.1",".",".",".",".",".",".",".",".",".","."
"Physics&Chem-Earth's Interior","302","001","10","3.050","30.0","20.0","10.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Geobiology","304","001","21","2.700","4.8","14.3","42.9","14.3","9.5","4.8","4.8","4.8",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","6","2.750",".","50.0","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","163","3.268","31.3","25.2","19.6","11.7","4.9","3.7",".","1.2",".",".",".",".",".",".","2.5","."
"Topics in Geology","376","001","24","3.923","87.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2"
"Glacial&Pleistocene Geology","420","001","13","3.115","7.7","15.4","69.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Stratigraphy","430","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Geology","455","001","19","2.868","26.3","26.3","10.5",".","26.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"Geologic Field Methods","456","001","15","2.767","20.0","33.3","6.7",".","26.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","12","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monsters & Science: A History","517","001","36","3.750","63.9","25.0",".",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Quaternary Vegetation Dynamics","523","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Quaternary Period","527","001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sedimentary Basins","530","001","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","692","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","7","3.905","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","698","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
