"Intro-Sci Comput for Engr Phys","476
001","","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","569
013","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","569
014","","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics II","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"E P
347","Dept. Total","","40","3.470","40.0","20.0","30.0","5.0","",".","",".","",".","",".","",".",".","",".","",".","5.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","5","3.500","40.0",".","40.0",".","",".","",".","",".","",".","",".",".","",".","",".","20.0",".",".","."
"Senior","","","32","3.464","40.6","21.9","28.1","6.3","",".","",".","",".","",".","",".",".","",".","",".","3.1",".",".","."
"Undergraduates","","","37","3.468","40.5","18.9","29.7","5.4","",".","",".","",".","",".","",".",".","",".","",".","5.4",".",".","."
"Graduate","","","3","3.500","33.3","33.3","33.3",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","40","3.470","40.0","20.0","30.0","5.0","",".","",".","",".","",".","",".",".","",".","",".","5.0",".",".","."
