"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"ESL:Acad Presentatns & Disc","326","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","328","005","","12","",".",".",".",".",".",".",".",".",".","83.3","8.3",".",".","8.3",".","."
"ESL: Acad Skills Workshops","","Course Total","","28","",".",".",".",".",".",".",".",".",".","89.3","7.1",".",".","3.6",".","."
"Intro to the Syntax of English","329","001","","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","21","3.833","81.0","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","003","","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"","337","004","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","005","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","006","","10","",".",".",".",".",".",".",".",".",".","80.0","10.0",".",".",".",".","10.0"
"TESOL Workshops","","Course Total","","53","",".",".",".",".",".",".",".",".",".","94.3","3.8",".",".",".",".","1.9"
"Gender and Language","341","001","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chicana/o & Latina/o Lit","357","001","","11","3.545","27.3","63.6",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Beowulf","359","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","","33","3.439","48.5","15.2","21.2","6.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","17","3.235","29.4","17.6","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","15","3.500","53.3","33.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"A Theme in 16th C Eng Lit","402","001","","22","3.364","45.5","18.2","13.6","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","417","001","","29","3.552","37.9","34.5","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outstnd Figures-17c Eng Lit","425","001","","10","3.389","50.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".","10.0",".","."
"English Novel: 18th Cent","459","001","","37","3.167","18.9","21.6","43.2","5.4","5.4","2.7",".","2.7",".",".",".",".",".",".",".","."
"Studies in Romantic Lit","465","001","","28","3.107","25.0","14.3","42.9",".","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 20th C Eng Lit","504","008","","31","3.467","48.4","19.4","22.6",".","3.2",".","3.2","3.2",".",".",".",".",".",".",".","."
"Mod British Lit Since 1914","507","001","","32","3.672","40.6","53.1","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Major Modern Amer Poets","509","001","","28","3.407","28.6","32.1","28.6","3.6","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"","516","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","516","001","","30","3.667","50.0","36.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in 20C Lit in English","","Course Total","","31","3.677","51.6","35.5","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","","24","3.696","54.2","29.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".","4.2","."
"","563","001","","30","3.533","40.0","33.3","23.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","563","002","","26","3.220","34.6","23.1","15.4","11.5","3.8","7.7",".","3.8",".",".",".",".",".",".",".","."
"","563","003","","20","3.425","25.0","45.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Studies in Narrative Lit","","Course Total","","76","3.400","34.2","32.9","21.1","3.9","3.9","2.6",".","1.3",".",".",".",".",".",".",".","."
"Topic-Women Writng&Fem Thry","574","001","","20","3.474","40.0","20.0","25.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"The American Short Story","610","001","","39","3.486","35.9","28.2","20.5","2.6",".","2.6",".","10.3",".",".",".",".",".",".",".","."
"","626","001","","26","3.340","19.2","38.5","26.9","11.5",".",".",".","3.8",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 209 of 408",""
