"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"340
Electronic Circuits I","001","","35","2.800","22.9","11.4","25.7","17.1","11.4","5.7","5.7",".",".",".",".",".",".",".",".","."
"342
Electronic Circuits II","001","","40","2.900","22.5","20.0","22.5","15.0","7.5","10.0","2.5",".",".",".",".",".",".",".",".","."
"352","001","","14","3.000","35.7","7.1","35.7","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"352","002","","43","2.581","9.3","16.3","25.6","20.9","16.3","2.3","9.3",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","","57","2.684","15.8","14.0","28.1","17.5","12.3","3.5","8.8",".",".",".",".",".",".",".",".","."
"353
Intro to Microprocessor Sys","001","","15","3.000","20.0","13.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"354
Machine Organizatn&Progrmng","001","","22","3.341","36.4","36.4",".","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"355","001","","28","3.036","21.4","17.9","28.6","17.9","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"355","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","31","3.081","25.8","16.1","25.8","19.4","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"370","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"370","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"370","004","","12","3.708","75.0","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","28","3.875","89.3","3.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"376
Electricl&Electronc Circuit","001","","125","2.976","14.4","15.2","43.2","10.4","15.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"377
Elec&Elec-mech Power Conver","001","","79","2.810","16.5","24.1","17.7","13.9","17.7","7.6","2.5",".",".",".",".",".",".",".",".","."
"379
Topics-Elect&Computer Engr","001","","8","3.563","62.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"399","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","8","3.429","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"399","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.625","87.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"412","001","","32","3.344","43.8",".","50.0",".","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"412","003","","9","3.875","77.8",".","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"412","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","","42","3.463","52.4",".","40.5",".","2.4","2.4",".",".",".",".",".",".",".","2.4",".","."
"420
Electromag Wave Transmissn","001","","18","2.917","22.2","22.2","22.2","5.6","16.7","11.1",".",".",".",".",".",".",".",".",".","."
"434
Photonics","001","","11","3.182","36.4","18.2","18.2",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"435
Introduction to Cryptography","001","","27","2.904","22.2","11.1","25.9","22.2","7.4","3.7","3.7","3.7",".",".",".",".",".",".",".","."
"437
Communication Systems II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"453
Embedded Microproc System Dsgn","001","","22","3.568","40.9","45.5",".","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"466
Electronics of Solids","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"489","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"491","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","","2","***","","","","","","","","","","","","","","","",""
"504
Elec Mach&Drive Systm Lab","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 116 of 408",""
