"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","390","3.647","63.3","18.7","9.7","2.3","2.3","2.3","0.3","1.0",".",".",".",".",".",".",".","."
"Voice Training","140
001","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","3.441","52.9","23.5",".","17.6",".","5.9",".",".",".",".",".",".",".",".",".","."
"","150
003","14","3.846","78.6",".","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","150
004","19","3.579","73.7",".","21.1",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","150
005","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","16","3.719","75.0","6.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","17","3.594","52.9","17.6","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","150
010","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","163","3.773","77.3","8.6","7.4","4.3",".","0.6","0.6",".",".",".",".",".",".","0.6",".","0.6"
"Intro to Stage Production","001
160","16","3.531","43.8","37.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","161
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","162
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
003","14","3.143","64.3","7.1",".","7.1","7.1",".","14.3",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","29","3.571","79.3","3.4",".","3.4","3.4",".","6.9",".",".",".",".",".",".","3.4",".","."
"Directed Study","199
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","250
001","18","3.361","27.8","38.9","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","002
250","15","3.333","40.0","13.3","33.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","33","3.348","33.3","27.3","24.2","6.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","266
001","10","2.900","60.0",".","10.0",".",".","20.0","10.0",".",".",".",".",".",".",".",".","."
"African Dance Performance","277
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Traditions in Dramatic Lit","324
001","53","3.358","50.9","15.1","11.3","15.1","1.9","3.8","1.9",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","20","3.079","30.0","25.0","20.0",".","10.0","5.0","5.0",".",".",".",".",".",".","5.0",".","."
"Acting Realism","350
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","12","3.600","75.0","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","362
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
