"LEGAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
002","139","2.949","17.3","18.7","26.6","18.7","14.4","2.9","0.7","0.7",".","",".",".","",".","",".","",".",".","."
"Law, Politics and Society","217
001","57","2.982","7.0","28.1","38.6","14.0","8.8","3.5",".",".",".","",".",".","",".","",".","",".",".","."
"Topics: Legal Studies&Soc Sci","400
010","25","3.240","12.0","44.0","32.0","4.0","8.0",".",".",".",".","",".",".","",".","",".","",".",".","."
"Law in Action","444
001","58","3.690","60.3","24.1","10.3","3.4","1.7",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
011","32","2.766","3.1","31.3","25.0","9.4","25.0","6.3",".",".",".","",".",".","",".","",".","",".",".","."
"","450
012","17","3.176","17.6","29.4","29.4","17.6","5.9",".",".",".",".","",".",".","",".","",".","",".",".","."
"Topic:Legal Studies&Humanities","Course Total","49","2.908","8.2","30.6","26.5","12.2","18.4","4.1",".",".","",".",".","",".","",".","",".",".",".","."
"","650
003","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","650
004","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","650
019","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Adv Seminar in Legal Studies","Course Total","8","3.563","37.5","37.5","25.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Senior Thesis","692
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","699
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"LEGAL ST
535","Dept. Total","340","3.097","22.6","25.0","25.9","12.6","10.9","2.4","0.3","0.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","46","2.728","6.5","17.4","30.4","23.9","15.2","4.3","2.2",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","124","2.992","14.5","22.6","31.5","16.1","12.1","3.2",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","60","3.311","35.0","23.3","23.3","6.7","11.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","106","3.346","32.1","33.0","18.9","5.7","7.5","1.9",".","0.9","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","336","3.099","22.6","25.3","25.9","12.2","11.0","2.4","0.3","0.3","",".",".","",".","",".","",".",".",".","."
"Special","","4","2.962","25.0",".","25.0","50.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","340","3.097","22.6","25.0","25.9","12.6","10.9","2.4","0.3","0.3","",".",".","",".","",".","",".",".",".","."
