"EDU","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"Design Education","326
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Elem School Art","423
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art-Exceptional Education","570
001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","7","3.850","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Art Education","951
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","999
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","59","3.919","81.4","16.9","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
