"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","24","3.146","25.0","16.7","29.2","20.8","8.3",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","110","3.266","30.9","16.4","36.4","4.5","7.3","1.8",".","0.9",".",".",".",".",".","1.8",".","."
"352
Transformation of Solids","001","","23","3.065","21.7","17.4","34.8","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","8","3.250","37.5","50.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421
Polymeric Materials","001","","7","3.583","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"433
Principles of Corrosion","001","","12","3.364","16.7","33.3","41.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","16","3.469","31.3","31.3","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"435
Joining of Materials","001","","17","3.618","52.9","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"748
Structural Anal of Matrial","001","","17","3.531","35.3","29.4","29.4",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"750
Imperfectns&Mech Properties","001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","14","",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","19","",".",".",".",".",".",".",".","78.9",".",".",".","21.1",".",".",".","."
"803","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","012","","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"803","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","42","3.951","76.2",".","2.4",".",".",".",".","19.0",".",".",".",".","2.4",".",".","."
"890","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 138 of 408",""
