"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Water Rights Law","845
001","18","1.944","5.6","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","850
001","33","0.986","9.1",".","12.1",".","12.1",".",".",".",".",".",".",".",".",".",".","."
"","850
002","38","1.638","5.3",".","39.5",".","7.9",".",".","2.6",".",".",".",".",".",".",".","."
"","003
850","39","1.462","10.3",".","28.2",".","10.3",".",".",".",".",".",".",".",".",".",".","."
"","850
004","19","0.842","5.3",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","129","1.299","7.8",".","26.4",".","8.5",".",".","0.8",".",".",".",".",".",".",".","."
"","852
001","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","12.5"
"","852
002","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","8.3"
"","852
003","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","28","",".",".",".",".",".",".",".","96.4",".",".",".",".","3.6",".",".","."
"","852
006","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","90","",".",".",".",".",".",".",".","96.7",".",".",".",".","1.1",".",".","2.2"
"","854
001","11","",".",".",".",".",".",".",".","54.5",".",".",".",".",".",".",".","45.5"
"","854
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
005","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","14","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
008","12","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","854
009","44","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
012","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
014","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
016","7","",".",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","42.9"
"","854
017","13","",".",".",".",".",".",".",".","61.5",".",".",".",".",".",".",".","38.5"
"Clinical Program","Course Total","147","",".",".",".",".",".",".",".","85.0",".",".",".",".",".",".",".","15.0"
"Collctv Bargang-Arbtrn Proc","858
001","10","1.150","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Criminal Procedure","860
001","21","",".",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","28.6"
"Institutionalized Persons","862
001","44","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"Litigation in Criminl Cases","863
001","16","1.133","12.5",".","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"International Tax","870
001","23","2.261","26.1","8.7","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Iss: N Amer & E Asia","872
001","15","1.900","26.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","66","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","84","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Juvenile Justice Adm","902
001","18","1.313","16.7",".","16.7",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","904
001","78","1.377","7.7",".","26.9",".","1.3","6.4",".","10.3",".",".",".",".",".",".","1.3","."
"","904
003","24","1.729","20.8","4.2","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","102","1.468","10.8","1.0","26.5",".","1.0","4.9",".","7.8",".",".",".",".",".",".","1.0","."
"Securities Regulation","914
001","23","1.667","17.4",".","17.4",".","4.3",".",".","21.7",".",".",".",".",".",".",".","."
