"","990
057","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
058","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
060","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","14","3.612","85.7",".","7.1","",".","7.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"OBS&GYN
436","Dept. Total","108","3.623","42.6","48.1","7.4","",".","0.9","",".","",".","",".","",".",".","",".","",".","",".",".","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","5","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","5","4.000","80.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","20.0","."
"Undergraduates","","11","3.963","81.8","9.1",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","9.1","."
"Graduate","","14","3.612","85.7",".","7.1","",".","7.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","3.500",".","100.0",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","74","3.595","28.4","62.2","9.5","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","8","3.727","50.0","50.0",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","83","3.605","30.1","61.4","8.4","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","108","3.623","42.6","48.1","7.4","",".","0.9","",".","",".","",".","",".",".","",".","",".","",".",".","0.9","."
