"","999
077","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
083","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
099","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Ind Work-Applied Music","Course Total","39","4.000","94.9",".",".",".",".","",".",".","2.6","",".",".","",".","",".","2.6",".",".","."
"MUS PERF
664","Dept. Total","509","3.875","79.4","13.4","4.9","0.8","0.4","",".","0.2","0.8","",".",".","",".","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.687","56.4","23.1","20.5",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","98","3.759","69.4","20.4","5.1","3.1","1.0","",".","1.0",".","",".",".","",".","",".",".",".",".","."
"Junior","","93","3.860","76.3","16.1","6.5","1.1",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","140","3.911","82.9","10.7","3.6",".","0.7","",".",".","2.1","",".",".","",".","",".",".",".",".","."
"Undergraduates","","370","3.837","74.9","15.9","6.5","1.1","0.5","",".","0.3","0.8","",".",".","",".","",".",".",".",".","."
"Special","","9","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","130","3.952","90.8","6.9","0.8",".",".","",".",".","0.8","",".",".","",".","",".","0.8",".",".","."
"","Dept. Total","509","3.875","79.4","13.4","4.9","0.8","0.4","",".","0.2","0.8","",".",".","",".","",".","0.2",".",".","."
