"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","1724","3.180","30.1","15.9","20.4","7.4","8.2","1.9","2.5","9.2","",".","3.9","0.3","",".","0.1","0.1",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","90","2.615","30.0","8.9","15.6","7.8","12.2","5.6","7.8",".","",".","11.1",".","",".",".","1.1",".","."
"Sophomore","","332","2.991","26.5","13.3","26.5","8.1","11.7","3.3","3.3",".","",".","6.0","0.9","",".",".","0.3",".","."
"Junior","","405","2.926","22.5","12.6","31.6","11.6","10.4","2.2","4.2",".","",".","4.7","0.2","",".",".",".",".","."
"Senior","","452","3.221","32.7","21.2","21.0","8.2","9.5","1.5","1.8","0.2","",".","2.9","0.2","",".",".",".",".","0.7"
"Undergraduates","","1279","3.037","27.7","15.6","25.4","9.2","10.6","2.5","3.4","0.1","",".","4.8","0.4","",".",".","0.2",".","0.2"
"Special","","41","3.219","39.0","2.4","17.1","12.2","12.2",".",".","12.2","",".","4.9",".","",".",".",".",".","."
"Graduate","","440","3.768","42.0","16.8","4.3","1.1","0.2",".",".","34.5","",".","0.7",".","",".","0.2",".",".","."
"","Dept. Total","1760","3.180","31.5","15.6","19.9","7.3","8.0","1.8","2.4","9.0","",".","3.8","0.3","",".","0.1","0.1",".","0.2"
