"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","265","3.008","15.8","25.3","24.2","19.2","11.3","2.3","0.8","0.4",".",".",".",".","0.4",".",".","0.4"
"","102
001","40","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","40","3.663","55.0","27.5","15.0",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","003
102","41","3.768","70.7","17.1","7.3","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","121","3.727","62.8","23.1","11.6","1.7","0.8",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","8","3.765","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","264","2.835","25.0","8.7","22.0","9.8","27.7","6.1","0.4","0.4",".",".",".",".",".",".",".","."
"","304
001","40","3.038","7.5","30.0","42.5","7.5","10.0","2.5",".",".",".",".",".",".",".",".",".","."
"","304
002","36","3.125","19.4","22.2","33.3","13.9","11.1",".",".",".",".",".",".",".",".",".",".","."
"","304
003","33","3.182","18.2","15.2","54.5","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","304
004","42","3.095","11.9","26.2","38.1","16.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","151","3.106","13.9","23.8","41.7","11.9","7.9","0.7",".",".",".",".",".",".",".",".",".","."
"Microbial Genetics","370
001","54","2.830","20.4","13.0","24.1","9.3","24.1","7.4",".","1.9",".",".",".",".",".",".",".","."
"Environmental Microbiology","425
001","20","2.763","5.0","15.0","35.0","10.0","30.0",".",".",".",".",".",".",".",".",".","5.0","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","64","3.156","26.6","14.1","29.7","26.6","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","19","3.184","26.3","31.6","10.5","15.8","15.8",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","527
002","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","33","3.781","69.7","18.2","6.1",".","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"","551
001","21","3.095","19.0","9.5","61.9",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","551
002","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","56","3.473","44.6","16.1","35.7",".","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Physiology","625
001","12","3.500","50.0","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Indus Microbiol/Biotechnlgy","632
001","10","3.667","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Adv Microbiol/Food Pathgens","650
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","6","3.808","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
