"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"404
Vertebrate Physiology","001","","11","3.000","18.2",".","54.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"502
Molec & Metabolic Basis of Med","001","","80","3.375","36.3","20.0","31.3","7.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"505
Vet Neuroanatomy&Neurophys","001","","79","2.886","15.2","15.2","32.9","12.7","20.3","3.8",".",".",".",".",".",".",".",".",".","."
"506
Veterinary Physiology B","001","","81","3.543","28.4","54.3","16.0",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"550
Anat-Lrge Domestic Animals","001","","80","3.421","36.3","20.0","33.8","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"555
Veterinary Toxicology","001","","78","3.109","20.5","20.5","29.5","21.8","6.4","1.3",".",".",".",".",".",".",".",".",".","."
"556
Basic & Clin Vet Therapeutics","001","","79","3.316","36.7","22.8","16.5","15.2","8.9",".",".",".",".",".",".",".",".",".",".","."
"675
Special Topics","001","","81","3.231","13.6","35.8","35.8","9.9","3.7",".",".","1.2",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.962","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","4","***","","","","","","","","","","","","","","","",""
