"Computer-Based Data Mgt","422
001","","9","3.667","44.4","44.4","11.1",".","","",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","12","3.583","33.3","50.0","16.7",".","","",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Computer-Based Data Mgt","722
001","","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INFO SYS
234","Dept. Total","","37","3.568","40.5","43.2","13.5","",".","",".","2.7","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","2.667","33.3",".","33.3","",".","",".","33.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","9","3.611","44.4","33.3","22.2","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","20","3.650","40.0","50.0","10.0","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","32","3.547","40.6","40.6","15.6","",".","",".","3.1","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","3.750","50.0","50.0",".","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","3","3.667","33.3","66.7",".","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","37","3.568","40.5","43.2","13.5","",".","",".","2.7","",".","",".","",".",".","",".","",".","",".",".",".","."
