"EGR","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","","Section
#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"347","E P","","","","","","","","","","","","","","","","","",""
"","Intro to Engineering Research","468
001
6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","Research Proposal-Engr Physics","469
001
2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Intermed Problem Solving-Engrs","471
001
26","3.440","38.5","15.4","34.6","7.7",".",".",".",".",".",".",".",".","3.8",".",".","."
"","Intro-Sci Comput for Engr Phys","476
001
3","***","","","","","","","","","",".",".",".",".",".",".","."
"","","569
013
1","***","","","","","","","","","",".",".",".",".",".",".","."
"","","569
014
2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Research Pract-Engr Physics II","Course Total
3","***","","","","","","","","","","","","","","","",""
