"BIOLOGICAL SYSTEMS ENGINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Irrigation Sys-Design & Use","216","001","","13","2.682","15.4","7.7","23.1",".","30.8","7.7",".","7.7",".",".",".",".",".","7.7",".","."
"Drainage Systems","218","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356","001","","17","3.188","23.5","17.6","35.3","5.9","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"Measrmt&Instrumntn-Biol Sys","365","001","","15","2.433","6.7","20.0","13.3",".","46.7","13.3",".",".",".",".",".",".",".",".",".","."
"","375","001","","13","2.846","15.4","15.4","23.1","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","375","002","","12","3.000","8.3","16.7","58.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","375","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","27","2.942","14.8","18.5","37.0","14.8","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rheology of Foods&Biomaterials","441","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sedmnt & Bio-Nutr Engr&Mgmt","472","001","","9","2.944","22.2","22.2",".","33.3","22.2",".",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","476","001","","8","3.000","12.5","25.0","50.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Small Watershed Engineering","571","001","","10","3.400","10.0","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","901","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"","990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","16","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
