"L&S","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","5128","2.821","27.5","11.3","22.3","10.0","16.1","6.1","4.3","1.1","0.1","0.7","0.0","",".","0.1","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1297","2.666","19.8","10.3","24.7","11.3","20.3","7.6","4.9",".",".","1.0",".","",".",".","0.1",".","0.2"
"Sophomore","","1787","2.763","24.0","11.6","24.9","9.2","17.1","6.9","4.9","0.1","0.1","1.0","0.1","",".",".","0.1","0.1","0.1"
"Junior","","1023","2.870","26.6","12.6","22.0","12.4","16.7","5.0","3.7","0.3",".","0.4",".","",".","0.1","0.1","0.1","."
"Senior","","597","2.836","28.0","13.6","20.9","10.7","13.4","6.2","4.9","0.7","0.3","0.2",".","",".","0.3","0.7",".","0.2"
"Undergraduates","","4704","2.762","23.9","11.7","23.7","10.7","17.4","6.6","4.6","0.2","0.1","0.7","0.0","",".","0.1","0.2","0.0","0.1"
"Special","","53","3.032","45.3","7.5","7.5","13.2","7.5","7.5","5.7","1.9",".",".",".","",".",".","1.9","1.9","."
"Graduate","","369","3.832","71.0","7.0","6.0","1.4","0.5",".","0.3","12.7",".",".",".","",".","0.3",".","0.8","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".","",".",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".","",".",".",".",".","."
"","Dept. Total","5128","2.821","27.5","11.3","22.3","10.0","16.1","6.1","4.3","1.1","0.1","0.7","0.0","",".","0.1","0.2","0.1","0.1"
