"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","9","3.333","22.2","55.6",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","100
002","11","3.200","18.2","27.3","27.3","9.1","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"","100
003","8","3.063",".","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","11","3.318","18.2","45.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","100
005","11","3.455",".","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","12","3.042","8.3","25.0","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","100
008","9","3.056","11.1","33.3","33.3",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","100
010","10","3.400","10.0","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","12","2.958","8.3","8.3","58.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
012","11","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","12","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","10","3.150","20.0","50.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","100
019","9","3.000","11.1","33.3","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"","100
020","9","3.444","22.2","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","12","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
022","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","12","3.333","41.7","33.3","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","100
027","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","14","3.321","14.3","57.1","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
040","13","3.308","7.7","46.2","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
041","13","3.385","23.1","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
042","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
100","12","3.458",".","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
045","10","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
046","9","3.167","11.1","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
047","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","13","3.192",".","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
050","10","3.200","40.0","20.0",".","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","348","3.350","21.6","43.4","24.7","6.3","2.9","0.3","0.6",".",".",".",".",".","0.3",".",".","."
"","105
001","17","3.471","17.6","58.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","17","3.500","23.5","64.7","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","105
003","16","3.344","6.3","62.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","17","3.441","17.6","58.8","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","105
005","18","3.444","16.7","55.6","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","15","3.567","20.0","73.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","100","3.460","17.0","62.0","18.0","2.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","221","3.114","18.1","32.1","29.0","8.6","5.9","3.6","1.8","0.9",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","221","3.370","21.7","44.3","23.5","7.2","1.4","0.5","0.5",".",".",".",".",".",".","0.9",".","."
"Thry&Pract-Argument&Debate","262
001","90","3.156","16.7","31.1","28.9","15.6","6.7","1.1",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","106","3.170","17.0","21.7","48.1","6.6","5.7","0.9",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","99","3.045","16.2","33.3","27.3","10.1","7.1","2.0","4.0",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 186 of 408",""
