"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","112","3.420","33.9","33.9","18.8","8.9","4.5",".",".",".",".",".",".",".",".",".",".","."
"","275
002","126","3.862","81.0","10.3","4.0","0.8","1.6",".",".","2.4",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","238","3.651","58.8","21.4","10.9","4.6","2.9",".",".","1.3",".",".",".",".",".",".",".","."
"Independent Study","299
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350
001","79","3.956","97.5","1.3",".",".",".","1.3",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","23","3.370","52.2","21.7","13.0",".",".","13.0",".",".",".",".",".",".",".",".",".","."
"","470
001","30","3.717","56.7","33.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","470
002","72","3.785","65.3","26.4","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","Course Total","102","3.765","62.7","28.4","7.8","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475
001","64","3.117","15.6","21.9","40.6","14.1","7.8",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","83","2.843","1.2","25.3","30.1","27.7","15.7",".",".",".",".",".",".",".",".",".",".","."
"","501
001","36","3.125","25.0","5.6","41.7","25.0","2.8",".",".",".",".",".",".",".",".",".",".","."
"","501
002","114","3.982","97.4","1.8","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","24","3.229","16.7","29.2","45.8",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","174","3.483","71.3","6.3","15.5","5.2","1.7",".",".",".",".",".",".",".",".",".",".","."
"","532
001","18","3.318","27.8","50.0","11.1",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","002
532","31","3.967","93.5",".","3.2",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","49","3.721","69.4","18.4","6.1",".","2.0",".","2.0","2.0",".",".",".",".",".",".",".","."
"Retail Promotion","560
001","33","3.152","6.1","39.4","33.3","21.2",".",".",".",".",".",".",".",".",".",".",".","."
"International Retailing","562
001","45","3.711","66.7","13.3","15.6","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","46","3.444","41.3","28.3","15.2","6.5","4.3","2.2",".","2.2",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575
001","23","3.435","34.8","43.5","17.4",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","50","3.130","4.0","40.0","40.0","10.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675
001","27","3.167","22.2","18.5","37.0","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"","699
005","16","3.972","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
031","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","44","3.993","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901
001","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","14","",".",".",".",".",".",".",".","92.9",".",".",".","7.1",".",".",".","."
"Independent Study","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
