"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"FINANCE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Junior","266","3.062","18.8","20.3","37.6","10.2","9.8","2.3","1.1",".",".",".","",".","",".",".",".",".","."
"Senior","614","3.094","20.7","20.8","34.2","12.1","9.0","2.6","0.5",".","0.2",".","",".","",".",".",".",".","."
"Undergraduates","881","3.085","20.1","20.8","35.2","11.5","9.2","2.5","0.7",".","0.1",".","",".","",".",".",".",".","."
"Special","44","3.452","27.3","38.6","25.0","2.3","2.3",".",".","2.3",".",".","",".","",".","2.3",".",".","."
"Graduate","311","3.620","47.3","28.3","19.0","1.3","0.3",".",".","3.5","0.3",".","",".","",".",".",".",".","."
"Prof Yr 3","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
