"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"699","000B","","18","3.417","38.9","22.2","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","000C","","18","3.414","38.9","33.3","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"699","000D","","17","3.632","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","000G","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","000E","","17","3.433","41.2","35.3","11.8",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"699","000F","","10","3.292","10.0","30.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","105","3.462","34.3","36.2","21.9","4.8","1.9","1.0",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","124","3.544","42.7","30.6","19.4","4.8","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"920","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Environmt,Textiles&Dsgn","Course Total","","13","3.580","76.9","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","12","",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
