"","990
014","3","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
018","4","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
026","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","16","",".",".",".",".",".",".","",".","25.0","",".",".",".","75.0","",".",".",".","."
"BSE
112","Dept. Total","139","3.022","20.9","19.4","23.7","5.8","12.9","3.6","",".","4.3","",".",".",".","8.6","",".","0.7",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","1","1.000",".",".",".",".",".","100.0","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","35","2.910","20.0","17.1","28.6","11.4","20.0","2.9","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","54","2.904","18.5","20.4","27.8","7.4","18.5","5.6","",".","1.9","",".",".",".",".","",".",".",".","."
"Undergraduates","","91","2.908","19.8","18.7","27.5","8.8","18.7","5.5","",".","1.1","",".",".",".",".","",".",".",".","."
"Special","","4","2.750",".",".","25.0",".","25.0",".","",".","25.0","",".",".",".",".","",".","25.0",".","."
"Graduate","","43","3.475","23.3","23.3","16.3",".",".",".","",".","9.3","",".",".",".","27.9","",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","139","3.022","20.9","19.4","23.7","5.8","12.9","3.6","",".","4.3","",".",".",".","8.6","",".","0.7",".","."
