"","990
085","3","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
087","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","47","",".",".",".",".",".",".","",".","97.9","",".",".",".","2.1","",".",".",".","."
"PATH-BIO
703","Dept. Total","579","3.444","31.4","14.5","14.2","3.6","1.4","0.3","",".","33.7","",".",".",".","0.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","5","3.625","60.0","20.0","20.0",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","11","3.227","18.2","45.5","27.3",".",".","9.1","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","16","3.333","31.3","37.5","25.0",".",".","6.3","",".",".","",".",".",".",".","",".",".",".","."
"Special","","8","4.000","12.5",".",".",".",".",".","",".","87.5","",".",".",".",".","",".",".",".","."
"Graduate","","68","3.794","20.6","7.4","1.5",".",".",".","",".","63.2","",".",".",".","7.4","",".",".",".","."
"Prof Yr 1","","24","",".",".",".",".",".",".","",".","100.0","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","318","3.326","22.0","17.9","24.2","6.6","2.5","0.3","",".","26.4","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","75","3.881","68.0","21.3",".",".",".",".","",".","10.7","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","70","4.000","58.6",".",".",".",".",".","",".","41.4","",".",".",".",".","",".",".",".","."
"Professionals","","487","3.436","33.3","15.0","15.8","4.3","1.6","0.2","",".","29.8","",".",".",".",".","",".",".",".","."
"","Dept. Total","579","3.444","31.4","14.5","14.2","3.6","1.4","0.3","",".","33.7","",".",".",".","0.9","",".",".",".","."
