"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","409","3.575","50.6","24.2","19.8","3.2","1.0","1.0","0.2",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","202","001","105","3.348","16.2","38.1","44.8","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335","001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","","Course Total","37","3.662","51.4","32.4","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","345","001","21","3.476","33.3","33.3","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","29","3.672","48.3","37.9","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","","Course Total","50","3.590","42.0","36.0","20.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401","001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Graphics","411","001","16","3.313","18.8","37.5","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419","001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445","002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","","Course Total","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447","001","17","3.500","17.6","64.7","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Stratgy-Strategc Campaign","449","001","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","001","25","3.500","8.0","76.0","8.0",".",".",".",".",".",".",".",".",".",".",".","8.0","."
"","475","076","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","","Course Total","43","3.587","34.9","51.2","9.3",".",".",".",".",".",".",".",".",".",".",".","4.7","."
"Law of Mass Communication","559","001","83","2.604","9.6","19.3","25.3","6.0","24.1","12.0","2.4","1.2",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","56","3.151","19.6","23.2","25.0","19.6","7.1",".",".","5.4",".",".",".",".",".",".",".","."
"","561","001","23","3.630","52.2","21.7","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561","002","19","3.594","42.1","26.3","5.3","10.5",".",".",".","15.8",".",".",".",".",".",".",".","."
"Mass Communication&Society","","Course Total","42","3.615","47.6","23.8","16.7","4.8",".",".",".","7.1",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565","001","118","3.158","11.9","35.6","30.5","16.1","4.2","0.8",".","0.8",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614","001","65","3.898","81.5","13.8","3.1",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618","001","26","3.920","80.8","15.4",".",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"Mass Com-Developing Nations","621","001","25","3.580","40.0","36.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662","001","24","3.396","29.2","33.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Responsiblty in Mass Comm","666","001","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669","001","30","3.667","46.7","43.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675","001","25","3.320","24.0","40.0","20.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","676","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 246 of 408",""
