"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"","215","001","","90","3.228","27.8","20.0","35.6","10.0","4.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"","215","002","","98","3.036","20.4","23.5","28.6","10.2","11.2","3.1","2.0",".",".",".",".",".",".",".",".","1.0"
"Intro to Agr & Applied Econ","","Course Total","","188","3.128","23.9","21.8","31.9","10.1","8.0","2.1","1.6",".",".",".",".",".",".",".",".","0.5"
"","299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","3.708","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","7","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Farming Systems Management","320","001","","30","3.083","23.3","43.3","16.7",".","6.7",".","10.0",".",".",".",".",".",".",".",".","."
"Commodity Markets","322","001","","74","2.653","8.1","6.8","41.9","9.5","24.3","4.1","2.7","2.7",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","","12","3.151","25.0","25.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","344","001","","34","2.750","20.6","14.7","20.6",".","38.2","2.9","2.9",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","20","3.700","70.0","15.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","373","001","","18","3.294","22.2","27.8","33.3","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Special Topics","375","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421","001","","15","3.367","33.3","26.7","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","","17","3.353","23.5","47.1","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","","14","3.143","21.4","28.6","35.7",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Experience","500","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","575","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Econometric Anal II","637","001","","10","3.571","40.0",".","30.0",".",".",".",".","10.0",".",".",".",".","20.0",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","","13","2.615","15.4","23.1","15.4","7.7","15.4","23.1",".",".",".",".",".",".",".",".",".","."
"","699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","14","2.875","21.4","21.4","14.3","7.1","14.3","21.4",".",".",".",".",".",".",".",".",".","."
"Applied Microeconomics","705","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Institutional Economics","707","001","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Development 1","730","001","","10","3.389","30.0","20.0","30.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","875","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","002","","7","3.889","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","10","3.933","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","063","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
