"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","219","3.077","25.1","22.4","24.2","8.2","11.9","5.0","0.9","1.8",".",".",".",".",".",".","0.5","."
"363
Develp: Adolescence-Old Age","001","","226","3.080","17.7","23.0","23.9","23.5","7.1","1.3",".","2.2",".",".",".",".",".","0.4",".","0.9"
"425
Rsch Meth in Hum Devel&Fam St","001","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"460
Intellect Develop&Preschool","001","","25","3.760","64.0","24.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Child Play-Development&Role","001","","29","3.741","51.7","44.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","29","3.793","86.2","6.9","3.4",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"470
Infants&Toddlers:Developmnt","001","","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","27","3.667","37.0","59.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","32","3.297","53.1","9.4","12.5","12.5","6.3","3.1","3.1",".",".",".",".",".",".",".",".","."
"516
Family Stress and Coping","001","","28","3.679","60.7","21.4","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"517
Couple Relationships","001","","31","3.800","64.5","25.8","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"521
African American Families","001","","20","3.525","65.0","20.0",".","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","26","3.250","23.1","23.1","38.5","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"601","002","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","011","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","Course Total","","24","3.896","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Adv Study of Young Child","001","","29","3.569","51.7","37.9","3.4",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","18","3.971","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","28","3.981","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"766","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","002","","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"766","003","","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","28","3.783","78.6","10.7","3.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","24","",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 144 of 408",""
