"Research","Course Total","43","",".",".",".",".",".",".",".","97.7","2.3",".",".","",".",".",".",".","."
"","999
025","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","999
033","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Advanced Independent Study","Course Total","2","***","","","","","","","","","","","","","","","","",""
"ATM OCN
640","Dept. Total","913","3.247","31.4","20.8","17.6","6.8","6.5","3.4","0.9","5.6","0.1","6.6",".","",".","0.1",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","83","2.798","22.9","15.7","19.3","13.3","16.9","9.6","2.4",".",".",".",".","",".",".",".",".","."
"Sophomore","","257","3.231","33.9","26.8","17.1","7.8","7.8","5.1","1.2",".",".",".",".","",".",".",".",".","0.4"
"Junior","","170","3.289","36.5","23.5","20.6","7.1","8.8","2.9","0.6",".",".",".",".","",".",".",".",".","."
"Senior","","235","3.271","33.6","21.7","26.0","7.7","4.3","2.1","0.9","0.9",".","2.1",".","",".","0.4",".","0.4","."
"Undergraduates","","745","3.206","33.2","23.2","20.9","8.2","7.9","4.2","1.1","0.3",".","0.7",".","",".","0.1",".","0.1","0.1"
"Special","","5","3.500",".","20.0",".",".",".",".",".","80.0",".",".",".","",".",".",".",".","."
"Graduate","","162","3.750","24.7","9.9","3.1","0.6",".",".",".","27.8","0.6","33.3",".","",".",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".",".",".","100.0",".","",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".",".",".","100.0",".","",".",".",".",".","."
"","Dept. Total","913","3.247","31.4","20.8","17.6","6.8","6.5","3.4","0.9","5.6","0.1","6.6",".","",".","0.1",".","0.1","0.1"
