"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","63","3.971","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Intro-Composition Studies","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Contemp Comp Thry I-Classical","001","","15","3.767","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"706
Special Topics-Compositn Thry","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Adv Second Lang Acquisition","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Literary Theory","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"764
Topics-Renaissance Lit","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"782
Graduate Poetry Workshop","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"785","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"785","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"795","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"One-credit Seminar","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","076","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","18","3.943","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
English Victorian Period","001","","14","3.808","64.3","21.4","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"823
20th Century Literature","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
Smr-Spec Top in 19c Eng Lit","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Topics in Composition Study","001","","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
"906
Smr-The English Language","001","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Scholarship Probs-Amer Lit","001","","13","3.792","53.8","38.5",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"942
Seminar-American Literature","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Smr-Restoration & 18th Cent","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","10","",".",".",".",".",".",".",".","70.0",".",".",".",".","30.0",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
