"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","162","3.217","17.9","36.4","26.5","10.5","6.8","1.2",".","0.6",".",".",".",".",".",".",".","."
"","301
002","125","3.274","33.6","30.4","18.4","6.4","3.2","6.4","0.8","0.8",".",".",".",".",".",".",".","."
"","301
003","27","3.796","70.4","18.5","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","314","3.290","28.7","32.5","22.0","8.0","4.8","3.2","0.3","0.6",".",".",".",".",".",".",".","."
"","320
001","168","3.369","35.1","30.4","19.0","6.5","7.7","1.2",".",".",".",".",".",".",".",".",".","."
"","002
320","175","3.084","18.3","21.1","34.9","12.6","10.3","1.1","0.6","1.1",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","343","3.224","26.5","25.7","27.1","9.6","9.0","1.2","0.3","0.6",".",".",".",".",".",".",".","."
"","321
001","105","3.303","21.9","39.0","22.9","11.4","2.9",".","1.0","1.0",".",".",".",".",".",".",".","."
"","321
002","90","2.722","15.6","11.1","26.7","17.8","8.9","12.2","2.2","4.4",".",".",".",".",".",".","1.1","."
"Human Develop-Adolescence","Course Total","195","3.068","19.0","26.2","24.6","14.4","5.6","5.6","1.5","2.6",".",".",".",".",".",".","0.5","."
"Hum Devel Chldhood-Adolescn","331
001","51","3.618","47.1","37.3","7.8","7.8",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","699
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","11","3.613","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","711
009","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","6","3.824","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","65","3.961","90.8","7.7",".",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Development and Aging","722
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","761
001","52","3.885","78.8","19.2","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
761","46","3.822","67.4","26.1","4.3",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","98","3.856","73.5","22.4","3.1",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","10","3.929","60.0","10.0",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","28","3.963","89.3","7.1",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","17","3.991","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","22","3.976","90.9","4.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Test Theory II","871
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Child Development","920
001","8","3.833","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 92 of 408"
