"JEWISH STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","",""
"332
Prophets of the Bible","001","","18","3.306","66.7","5.6","5.6",".","11.1","5.6","5.6",".",".",".",".",".",".",".",".","."
"371","001","","14","3.429","21.4","71.4",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"371","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"371","003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371","004","","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","Course Total","","40","3.475","40.0","45.0","5.0","5.0",".","2.5","2.5",".",".",".",".",".",".",".",".","."
"374
Mod Pol Hist of Jews:1870-1970","002","","9","3.429","44.4","11.1",".","11.1","11.1",".",".","22.2",".",".",".",".",".",".",".","."
"377
Jewish Cultural History","001","","35","3.364","17.1","45.7","20.0","11.4",".",".",".","5.7",".",".",".",".",".",".",".","."
"410
Holocaust Theme-West Drama","001","","14","3.143","28.6","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"417
History-telling in the Bible","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","002","","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","003","","11","3.600","36.4","36.4","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"490","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Jewish Studies","Course Total","","22","3.571","40.9","27.3","27.3",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"514
Biblical Texts, Poetry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Holocaust: Hist, Memory & Educ","001","","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"534
Rdgs-Contemp Hebrew Lit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675
Research Colloquium for Majors","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"677","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independnt Research for Majors","Course Total","","3","***","","","","","","","","","","","","","","","",""
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699
Directed Study","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"JEWISH
510","Dept. Total","","167","3.414","37.7","29.3","12.6","6.0","3.0","1.2","1.8","3.0","0.6","4.2",".",".","0.6",".",".","."
