"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"277
001
Kendo:Intgratn-Mrtl&Lib Art","20","3.675","60.0","20.0","15.0","5.0",".",".",".",".",".",".",".","",".","",".",".",".","."
"295
001
Bicycling","18","3.844","61.1","27.8",".",".",".",".",".","11.1",".",".",".","",".","",".",".",".","."
"300
001","21","3.575","57.1","23.8","9.5",".",".",".","4.8","4.8",".",".",".","",".","",".",".",".","."
"300
002","19","3.833","68.4","5.3",".",".","5.3",".",".","21.1",".",".",".","",".","",".",".",".","."
"300
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Course Total
Workshop-Physical Activity","46","3.732","67.4","13.0","4.3",".","2.2",".","2.2","10.9",".",".","",".","",".",".",".",".","."
"301
001
Swim Endur&Stroke Proficncy","22","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"303
001
Aquatic Conditioning","21","3.861","61.9","23.8",".",".",".",".",".","14.3",".",".",".","",".","",".",".",".","."
"308
001
Lifegrdng&Swimmng Supervisn","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"318
001
Topics in Martial Arts","27","3.660","48.1","25.9","18.5",".",".",".",".","7.4",".",".",".","",".","",".",".",".","."
"330
001
Triathlon Training","19","3.600","10.5","10.5","5.3",".",".",".",".","73.7",".",".",".","",".","",".",".",".","."
"362
001
Tennis III","16","3.643","43.8","25.0","18.8",".",".",".",".","6.3",".",".",".","",".","",".","6.3",".","."
"PE ACTIV
Dept. Total
740","1791","3.387","40.9","20.8","9.4","3.5","4.1","1.4","0.6","18.0","0.1",".","",".","",".","0.2","0.3","0.6","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","166","2.987","39.8","19.3","12.0","6.6","13.9","3.6","1.8","1.8",".",".","",".","",".",".","0.6",".","0.6"
"Sophomore","335","3.262","41.5","24.5","10.7","6.9","4.8","3.3","0.3","7.8",".",".","",".","",".","0.3",".",".","."
"Junior","318","3.464","48.1","21.4","9.4","4.4","3.1","1.3","0.3","11.3","0.3",".","",".","",".",".","0.3",".","."
"Senior","782","3.521","42.5","20.8","9.1","1.5","2.9","0.4","0.6","21.4","0.1",".","",".","",".","0.4","0.1","0.1","."
"Undergraduates","1601","3.376","43.1","21.5","9.8","3.7","4.5","1.5","0.6","14.5","0.1",".","",".","",".","0.2","0.2","0.1","0.1"
"Special","93","3.532","12.9","9.7","5.4","1.1",".","1.1",".","60.2",".",".","",".","",".",".",".","9.7","."
"Graduate","66","3.602","34.8","18.2","6.1","1.5","1.5",".","1.5","33.3",".",".","",".","",".",".","3.0",".","."
"Prof Yr 1","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","5","4.000","20.0",".",".",".",".",".",".","80.0",".",".","",".","",".",".",".",".","."
"Prof Yr 3","23","3.571","21.7","26.1","13.0",".",".",".",".","39.1",".",".","",".","",".",".",".",".","."
"Prof Yr 4","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","31","3.639","25.8","22.6","9.7",".",".",".",".","41.9",".",".","",".","",".",".",".",".","."
"Dept. Total","1791","3.387","40.9","20.8","9.4","3.5","4.1","1.4","0.6","18.0","0.1",".","",".","",".","0.2","0.3","0.6","0.1"
