"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2281","3.228","32.1","20.9","19.2","10.5","6.5","1.8","0.8","5.9","0.0","0.0","",".","2.0","0.1","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.194","23.8","23.8","28.6","19.0",".","4.8",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","189","2.976","30.7","22.2","19.0","11.1","9.5","2.6","4.2",".",".",".","",".",".",".","0.5",".","."
"Junior","","504","3.048","26.4","22.2","24.0","14.3","9.1","3.0","0.8",".",".",".","",".",".","0.2",".",".","."
"Senior","","1080","3.217","31.6","22.3","23.5","12.5","7.7","1.6","0.6","0.2",".",".","",".",".",".","0.1",".","."
"Undergraduates","","1794","3.150","29.9","22.3","23.2","12.9","8.2","2.1","1.0","0.1",".",".","",".",".","0.1","0.1",".","."
"Special","","35","3.176","20.0","34.3","17.1","8.6","2.9","5.7",".","8.6",".",".","",".",".","2.9",".",".","."
"Graduate","","452","3.747","41.6","14.2","3.5","1.1","0.2",".","0.2","28.5","0.2","0.2","",".","10.0","0.2",".",".","."
"","Dept. Total","2281","3.228","32.1","20.9","19.2","10.5","6.5","1.8","0.8","5.9","0.0","0.0","",".","2.0","0.1","0.1",".","."
