"ALS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WISE Seminar","175
001","","18","3.972","94.4","5.6","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Leadership Seminar","312
001","","28","4.000","100.0",".","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"World Hunger & Malnutrition","350
001","","2","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics","375
003","","26","3.981","96.2","3.8","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","","74","3.949","94.6","5.4","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","25","3.980","96.0","4.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","18","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","20","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","8","3.708","62.5","37.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","71","3.947","94.4","5.6","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","74","3.949","94.6","5.4","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
