"","999
098","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
132","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
172","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","39","4.000","89.7",".",".",".",".","",".",".",".","",".",".",".","5.1","5.1",".",".","."
"CURRIC
272","Dept. Total","2133","3.919","66.8","4.8","1.9","0.5","0.2","",".","0.0","3.9","",".","20.0","0.0","1.1","0.6","0.0","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","3.563","25.0","75.0",".",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","17","3.726","76.5","11.8","5.9",".","5.9","",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","202","3.850","60.9","9.4","3.0","1.0",".","",".","0.5",".","",".","25.2",".",".",".",".",".","."
"Senior","","1244","3.910","62.9","5.1","2.0","0.6","0.2","",".",".",".","",".","28.9","0.1",".",".",".",".","0.2"
"Undergraduates","","1467","3.897","62.6","6.0","2.2","0.7","0.3","",".","0.1",".","",".","27.9","0.1",".",".",".",".","0.1"
"Special","","152","3.926","80.9","3.3","3.3",".",".","",".",".","0.7","",".","9.9",".",".","1.3",".","0.7","."
"Graduate","","514","3.976","74.3","1.9","0.6","0.2",".","",".",".","16.1","",".","0.2",".","4.5","1.9","0.2",".","."
"","Dept. Total","2133","3.919","66.8","4.8","1.9","0.5","0.2","",".","0.0","3.9","",".","20.0","0.0","1.1","0.6","0.0","0.0","0.1"
