"BIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","",""
"101","001","","90","2.406","12.2","6.7","25.6","5.6","32.2","13.3","4.4",".",".",".",".",".",".",".",".","."
"101","002","","93","2.313","11.8","6.5","19.4","14.0","25.8","11.8","8.6","1.1",".",".",".",".",".",".",".","1.1"
"Animal Biology","Course Total","","183","2.359","12.0","6.6","22.4","9.8","29.0","12.6","6.6","0.5",".",".",".",".",".",".",".","0.5"
"102","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","007","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","014","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","","57","3.649","50.9","33.3","12.3","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","14","3.357","57.1","14.3","7.1",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"150
Ways of Knowing Biology","001","","62","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"151","001","","79","2.930","24.1","11.4","35.4","2.5","20.3","3.8","2.5",".",".",".",".",".",".",".",".","."
"151","002","","77","2.714","16.9","5.2","40.3","7.8","16.9","11.7","1.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","156","2.824","20.5","8.3","37.8","5.1","18.6","7.7","1.9",".",".",".",".",".",".",".",".","."
"152","001","","119","3.298","42.0","9.2","32.8","3.4","10.1","2.5",".",".",".",".",".",".",".",".",".","."
"152","002","","128","3.297","28.9","21.1","39.1","3.9","6.3","0.8",".",".",".",".",".",".",".",".",".","."
"152","003","","87","2.902","14.9","8.0","46.0","11.5","16.1","3.4",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","334","3.195","29.9","13.5","38.6","5.7","10.2","2.1",".",".",".",".",".",".",".",".",".","."
"153","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"153","002","","7","2.429",".",".","57.1",".","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","9","2.444","11.1",".","44.4",".","22.2","22.2",".",".",".",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","6","3.429","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"375","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 171 of 408",""
