"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"120","001","","261","3.195","31.4","23.4","17.6","10.3","8.8","3.4","1.1","3.4",".",".",".",".",".",".",".","0.4"
"120","002","","234","3.122","30.3","26.5","13.7","10.3","9.8","5.1","2.1","2.1",".",".",".",".",".",".",".","."
"Science of Food","Course Total","","495","3.160","30.9","24.8","15.8","10.3","9.3","4.2","1.6","2.8",".",".",".",".",".",".",".","0.2"
"201
Discovering Food Science","001","","36","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"301
Intro to Sci & Technol of Food","001","","37","3.139","16.2","21.6","35.1","21.6","2.7",".",".",".",".",".",".",".",".",".",".","2.7"
"305
Intro-Meat Sci & Technology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","25","3.229","28.0","12.0","44.0","8.0",".","4.0",".","4.0",".",".",".",".",".",".",".","."
"399","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"410
Food Chemistry I","001","","25","2.800","16.0","24.0","16.0","16.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"438","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Rheology of Foods&Biomaterials","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"464
Stat-Food Indst Qual Contrl","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Food Chemistry II","001","","14","3.250","14.3","35.7","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"532
Food Processing II","001","","27","3.019","25.9",".","48.1","11.1","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","75","3.333","14.7","45.3","32.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"542
Food Engineering Operations","001","","21","3.119","42.9","9.5","23.8","4.8","4.8","14.3",".",".",".",".",".",".",".",".",".","."
"600
Prof Practice in Food Sci","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Food Proteins","001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799
Practicum-Food Sci Teaching","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","34","3.500","8.8","17.6","8.8",".",".",".",".","64.7",".",".",".",".",".",".",".","."
"990","009","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 21 of 408"
