"LAFOLLETTE SCHOOL PUB AFF Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"","799
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","6","3.625","50.0",".",".","16.7",".",".",".",".",".",".",".",".","33.3",".",".","."
"Energy Analysis Seminar","810
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Methods-Public Policy","819
001","38","3.671","42.1","50.0","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Internatnl Bus & Gov","841
001","7","3.429",".","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","23","3.478","30.4","34.8","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol Econ-Corruptn&Good Governc","857
001","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","17","3.676","35.3","64.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Policy&Policy Design","864
001","16","3.469","43.8","18.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","17","3.647","29.4","70.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","21","3.738","52.4","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","39","3.731","51.3","43.6","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","19","3.842","78.9","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","36","3.861","77.8","19.4",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","878
001","25","3.917","84.0","8.0","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881
001","33","3.788","57.6","42.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprofit Leadership","887
001","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Budgeting","892
001","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PUB AFFR
826","Dept. Total","312","3.714","51.3","38.8","6.7","1.3",".",".",".","1.3",".",".",".",".","0.6",".",".","."
