"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102
001","20","3.816","65.0","25.0","5.0",".",".",".",".","5.0",".",".",".","",".","",".","",".",".","."
"Intro-Mus Cult of the World","103
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".","."
"The African Storyteller","210
001","64","3.016","23.4","10.9","29.7","20.3","12.5",".","1.6",".","1.6",".",".","",".","",".","",".",".","."
"Hero&Trickster-Oral Traditn","270
001","16","2.667","18.8","12.5","18.8","12.5","18.8","6.3","6.3","6.3",".",".",".","",".","",".","",".",".","."
"Intro to Turkish Folk Lit","279
001","28","3.375","21.4","53.6","21.4",".",".",".","3.6",".",".",".",".","",".","",".","",".",".","."
"Anthro Approach to Folklore","344
001","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Shamanism","352
001","53","3.951","86.8","9.4",".",".",".",".",".","3.8",".",".",".","",".","",".","",".",".","."
"Dir Stdy-Folklore Undergrad","399
020","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Javanese Performance Repertory","453
001","6","2.917","33.3","16.7",".","33.3",".","16.7",".",".",".",".",".","",".","",".","",".",".","."
"Practicum in Public Folklore","491
001","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Folklore Theory","510
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".","",".","",".","",".",".","."
"","530
001","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","530
003","3","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Topics in Folklore","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"FOLKLORE
380","Dept. Total","219","3.457","48.4","20.1","13.2","8.2","5.0","0.9","1.4","1.8","0.5",".","",".","",".","",".","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.127","27.8","16.7","22.2","16.7","16.7",".",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","47","3.467","36.2","31.9","27.7",".","2.1",".","2.1",".",".",".","",".","",".","",".",".",".","."
"Junior","","40","3.445","45.0","22.5","15.0","10.0","2.5","2.5",".",".","2.5",".","",".","",".","",".",".",".","."
"Senior","","101","3.455","53.5","15.8","5.9","10.9","5.9","1.0","2.0","4.0",".",".","",".","",".","",".","1.0",".","."
"Undergraduates","","206","3.426","45.6","20.9","14.1","8.7","5.3","1.0","1.5","1.9","0.5",".","",".","",".","",".","0.5",".","."
"Special","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","12","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","219","3.457","48.4","20.1","13.2","8.2","5.0","0.9","1.4","1.8","0.5",".","",".","",".","",".","0.5",".","."
