"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"723","030","","42","3.726","54.8","35.7","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","","71","3.704","47.9","45.1","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Entrepreneurl Growth Strategy","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"734
Venture Creation","002","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"738
WAVE Practicum II","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","096","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","22","3.816","68.2","22.7","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"774
Seminar-Arts Administration","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790
Master's Research and Thesis","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Reading & Rsch-Management","217","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"870
Smr-Administrative Policy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","129","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","","2","***","","","","","","","","","","","","","","","",""
"M H R
236","Dept. Total","","1379","3.254","34.7","20.8","24.9","5.5","9.5","2.0","1.2","1.1","0.1",".",".",".","0.1",".",".","0.1"
