"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Women, Culture & Representn","101","001","110","3.084","12.7","36.4","30.0","7.3","6.4","0.9","3.6","2.7",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","140","3.202","35.7","24.3","15.7","5.0","9.3","5.0","2.1","1.4",".",".",".",".",".",".","0.7","0.7"
"Womens Bodies-Hlth&Disease","103","001","400","3.589","53.3","25.8","12.0","5.0","2.5","0.5","0.5","0.5",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200","001","92","3.275","27.2","32.6","18.5","9.8","6.5","1.1","1.1","1.1",".",".",".",".","1.1",".",".","1.1"
"Gender & Work-Rural America","215","001","34","2.909","11.8","20.6","26.5","14.7","23.5",".",".",".",".",".",".",".","2.9",".",".","."
"Chicana and Latina History","245","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Women in Literature","250","001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics - Women & Society","320","001","48","3.691","50.0","37.5","8.3","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"Black Women in America","324","001","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latinas: Self Ident&Social Chg","332","001","22","3.455","45.5","18.2","31.8",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Gender and Language","341","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","001","29","3.362","17.2","37.9","37.9","3.4",".",".",".",".",".",".",".",".",".",".","3.4","."
"Women&Gender in US Since 1870","354","001","56","3.409","28.6","44.6","16.1","3.6","5.4",".","1.8",".",".",".",".",".",".",".",".","."
"Women in Medieval Society","416","001","29","3.672","58.6","27.6","3.4","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Hist, & Eur Fairy Tale","417","001","38","3.592","44.7","31.6","21.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","17","3.559","23.5","64.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feminism&Soc&Culturl Theory","449","001","32","3.828","71.9","21.9","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","18","3.194","16.7","22.2","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","39","3.731","59.0","33.3","2.6","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","31","3.565","41.9","29.0","29.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Smr in LGBT St (Capstone)","642","001","18","3.222","22.2","33.3","38.9",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Internatnl Developmnt & Gender","644","001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship-Women's Studies","660","001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis II","682","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Hlth-Women Across Lifespan","735","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sex/Gender-Related Iss in C&I","760","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Sexuality","938","001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","","Course Total","4","***","","","","","","","","","","","","","","","",""
