"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"810
Adv Topics-Marketing Rsch","001","","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Quant Models in Marketing","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"972
Seminar-Marketing PhD","001","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","","4","***","","","","","","","","","","","","","","","",""
