"Global Marketing Strategy","420
001","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Latin Amer Economc Develpmt","462
001","12","3.333","33.3","25.0","16.7","25.0",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","745
001","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intl Operations: Probs&Adm","755
001","6","3.917","83.3","16.7",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","310","3.117","29.0","19.0","27.1","14.2","8.4","1.6","",".","0.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","52","2.895","9.6","11.5","48.1","19.2","9.6","1.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","130","3.064","28.5","20.8","24.6","11.5","10.8","2.3","",".","1.5","",".",".","",".","",".","",".",".",".","."
"Senior","","107","3.232","36.4","18.7","23.4","15.0","5.6","0.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","290","3.094","28.3","18.3","28.3","14.1","8.6","1.7","",".","0.7","",".",".","",".","",".","",".",".",".","."
"Special","","11","3.136","18.2","36.4","9.1","27.3","9.1",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","9","3.778","66.7","22.2","11.1",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","310","3.117","29.0","19.0","27.1","14.2","8.4","1.6","",".","0.6","",".",".","",".","",".","",".",".",".","."
