"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"100
Intro to Cultures of Asia","001","","81","3.013","17.3","19.8","29.6","12.3","11.1","2.5","1.2","1.2","1.2",".",".",".",".","3.7",".","."
"235
Genres-Asian Religious Writing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"244
SE Asia:Vietnam to Philipns","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"265
Cen Asia: Silk Route-Afghan","001","","41","3.476","26.8","51.2","14.6","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"279
Intro to Turkish Folk Lit","001","","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","13","3.308","46.2","23.1","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"300","002","","65","3.398","36.9","23.1","27.7","3.1","1.5","1.5","1.5","4.6",".",".",".",".",".",".",".","."
"300","003","","16","3.300","37.5","12.5","31.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"Topics in LCA","Course Total","","94","3.369","38.3","21.3","26.6","4.3","1.1","2.1","2.1","4.3",".",".",".",".",".",".",".","."
"314
Literatures of Central Asia","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"355
Hinduism","001","","19","3.237","42.1","26.3","5.3","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"357
Literatures-Muslim Societies","001","","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"364
Introduction to Buddhism","001","","36","3.114","25.0","27.8","22.2","11.1","5.6",".","5.6","2.8",".",".",".",".",".",".",".","."
"370
Islam: Religion and Culture","001","","37","3.641","54.1","21.6","16.2","5.4",".",".",".","2.7",".",".",".",".",".",".",".","."
"428
Visual Cultures of South Asia","001","","11","3.318","36.4","9.1","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"438
Buddhism&Soc-SE Asian Hist","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"441
Lang&Society-Southeast Asia","001","","21","2.900","23.8","19.0","19.0","19.0","4.8",".","9.5","4.8",".",".",".",".",".",".",".","."
"444
Intro-Sufism(Islamic Mystc)","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"458
Hist SE Asia Since 1800","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"553
Ritual in Buddhist Life","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"579
Fiction&Ethnography in Turkey","001","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Map & Represent Colonial Space","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"634
Social Structure of India","001","","7","2.917",".","14.3","57.1",".","14.3",".",".",".",".",".",".",".",".","14.3",".","."
"650
Proseminar in Buddhist Thought","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","000A","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.935","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"857
Smr-Hist of India (S Asia)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
