"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","139","3.417","43.2","23.7","15.8","8.6","6.5","1.4",".","0.7",".",".",".",".",".",".",".","."
"Language, History, and Society","103","001","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","45","3.568","51.1","24.4","11.1","6.7","4.4",".",".","2.2",".",".",".",".",".",".",".","."
"Language, History, and Society","303","001","17","3.313","41.2","17.6","11.8","5.9","17.6",".",".","5.9",".",".",".",".",".",".",".","."
"Morphology","322","001","25","3.375","32.0","24.0","24.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Syntax","330","001","21","3.325","23.8","28.6","28.6","14.3",".",".",".",".","4.8",".",".",".",".",".",".","."
"Semantics","340","001","20","3.475","45.0","25.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","373","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Methods II","427","001","15","3.821","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","482","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","482","036","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","","Course Total","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phonological Theories","510","001","11","3.500","63.6","18.2",".",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"Syntactic Theories","530","001","13","3.727","38.5","46.2",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Structure of a Language","571","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","999","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","3","***","","","","","","","","","","","","","","","",""
