"L&S","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","551
001","","29","3.931","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","","49","3.918","83.7","16.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
001","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
004","","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","Course Total","","34","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-American Librarianship","569
001","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
004","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","Course Total","","56","3.955","92.9","5.4","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Records Management","616
001","","21","3.725","42.9","52.4",".",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"","620
001","","14","3.927","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","18","3.887","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","622
001","","30","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
001","","38","3.681","63.2","21.1","5.3","2.6",".",".","2.6","2.6",".",".",".",".",".",".",".","2.6"
"","629
002","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","Course Total","","56","3.713","64.3","21.4","7.1","1.8",".",".","1.8","1.8",".",".",".",".",".",".",".","1.8"
"Topics-Library&Informatn St","640
001","","16","3.859","81.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"School Library/Media Center","641
001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
002","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Interests of Adults","Course Total","","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","645
001","","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Government Info Sources","653
001","","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Info Services Management","654
001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"College & Univ Libraries","Course Total","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Rsch Meths-L I S","810
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825
001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"On-Line Reference&Info Serv","828
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","855
001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
001","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 255 of 408",""
