"AMERICAN INDIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","",""
"American Indians in Film","325
014","","23","3.381","21.7","52.2","13.0",".",".",".","4.3",".",".",".",".",".",".","8.7",".","."
"Indians-Western Great Lakes","353
001","","24","3.022","25.0","20.8","25.0","8.3","8.3","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"Fourth Semester Ojibwe","402
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
006","","22","3.682","72.7","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","450
010","","15","3.233","20.0","26.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","450
012","","17","2.912","29.4","11.8","35.3","5.9",".","11.8","5.9",".",".",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","","54","3.315","44.4","14.8","25.9","3.7","5.6","3.7","1.9",".",".",".",".",".",".",".",".","."
"Writing Tribal Histories","546
004","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rur Minority Grp&Povrty-U S","578
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Am Ind Lit Since 1953","001
650","","14","2.731","14.3","21.4","14.3","14.3","14.3","14.3",".","7.1",".",".",".",".",".",".",".","."
"","699
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
