"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Relaxation Tech & Exercise","Course Total","","62","3.931","74.2","4.8","3.2",".",".",".",".","16.1",".",".",".",".","1.6",".",".","."
"","138
002","","8","3.750","37.5","37.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","138
003","","12","3.750","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","138
004","","11","3.722","45.5","27.3","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Golf I","Course Total","","31","3.739","38.7","32.3","3.2",".",".",".",".","25.8",".",".",".",".",".",".",".","."
"","140
002","","17","3.781","52.9","41.2",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","140
003","","20","3.813","55.0","20.0","5.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","140
004","","20","3.553","40.0","35.0","10.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","57","3.706","49.1","31.6","5.3","3.5",".",".",".","10.5",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","20","3.806","60.0","25.0","5.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","17","3.692","47.1","17.6","5.9","5.9",".",".",".","11.8",".",".",".",".","11.8",".",".","."
"Badminton I","155
001","","22","3.237","13.6","27.3","31.8","13.6",".",".",".","13.6",".",".",".",".",".",".",".","."
"Topics in Fencing","157
001","","24","3.739","50.0","41.7","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","162
001","","20","3.708","35.0","15.0","10.0",".",".",".",".","35.0",".",".",".",".",".","5.0",".","."
"","162
002","","14","4.000","21.4",".",".",".",".",".",".","71.4",".",".",".",".",".","7.1",".","."
"","162
003","","18","3.300",".","33.3","22.2",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","52","3.580","19.2","17.3","11.5",".",".",".",".","48.1",".",".",".",".",".","3.8",".","."
"","163
001","","16","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","163
002","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","33","3.903","75.8","18.2",".",".",".",".",".","6.1",".",".",".",".",".",".",".","."
"Basketball I","170
001","","29","3.828","75.9","13.8","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soccer I","173
001","","24","3.804","62.5","29.2","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","175
001","","29","3.667","58.6","10.3","20.7","3.4",".",".",".","6.9",".",".",".",".",".",".",".","."
"","175
002","","28","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","175
003","","28","3.955","71.4","7.1",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","85","3.805","64.7","17.6","7.1","1.2",".",".",".","9.4",".",".",".",".",".",".",".","."
"Team Handball I","177
001","","20","3.750","55.0","25.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Orienteering","194
001","","14","3.708","64.3","7.1","7.1",".","7.1",".",".","7.1",".",".",".",".",".",".",".","7.1"
"","201
001","","15","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","002
201","","19","3.813","57.9","21.1","5.3",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","34","3.839","58.8","20.6","2.9",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"Intro to Martial Arts","211
002","","13","3.615","84.6",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","28","3.350","10.7","32.1","25.0","3.6",".",".",".","25.0",".",".",".",".","3.6",".",".","."
"Weight Training II","232
001","","16","3.571","18.8","62.5","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","262
001","","15","4.000","46.7",".",".",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"","262
002","","17","3.450","5.9","41.2","11.8",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"","262
003","","16","3.786","25.0","18.8",".",".",".",".",".","50.0","6.3",".",".",".",".",".",".","."
"Tennis II","Course Total","","48","3.708","25.0","20.8","4.2",".",".",".",".","47.9","2.1",".",".",".",".",".",".","."
"Racquetball II","263
001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basketball II","270
001","","23","3.452","21.7","39.1","30.4",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","275
001","","32","3.571","34.4","50.0",".",".",".",".","3.1","12.5",".",".",".",".",".",".",".","."
"","275
002","","26","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","58","3.667","43.1","48.3",".",".",".",".","1.7","6.9",".",".",".",".",".",".",".","."
