"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","3","3.438","33.3","33.3","33.3",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","26","3.362","42.3","11.5","38.5","3.8","3.8",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","48","3.412","56.3","8.3","18.8","2.1","8.3","4.2","",".","2.1","",".",".","",".",".","",".",".",".","."
"Undergraduates","","80","3.379","48.8","10.0","28.8","2.5","6.3","2.5","",".","1.3","",".",".","",".",".","",".",".",".","."
"Special","","3","3.700","66.7","33.3",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","60","3.842","45.0","5.0","5.0",".",".",".","",".","35.0","",".","6.7","",".","3.3","",".",".",".","."
"","Dept. Total","143","3.502","47.6","8.4","18.2","1.4","3.5","1.4","",".","15.4","",".","2.8","",".","1.4","",".",".",".","."
