"PhD Thesis-Risk&Insurance","Course Total","6","",".",".",".",".",".",".",".","100.0","",".",".",".","",".","",".",".",".","."
"","999
039","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","999
079","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"R M I
241","Dept. Total","468","3.148","26.5","18.6","32.5","7.9","9.2","3.4","0.4","1.5","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","46","2.989","28.3","13.0","30.4","6.5","15.2","2.2","4.3",".","",".",".",".","",".","",".",".",".","."
"Junior","","147","3.088","23.8","17.7","34.0","10.9","8.8","4.8",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","222","3.126","23.4","19.8","35.1","8.1","10.4","3.2",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","415","3.098","24.1","18.3","34.2","8.9","10.4","3.6","0.5",".","",".",".",".","",".","",".",".",".","."
"Special","","2","2.250",".","50.0",".",".",".","50.0",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","51","3.659","47.1","19.6","19.6",".",".",".",".","13.7","",".",".",".","",".","",".",".",".","."
"","Dept. Total","468","3.148","26.5","18.6","32.5","7.9","9.2","3.4","0.4","1.5","",".",".",".","",".","",".",".",".","."
