"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"","990
048","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Thesis","Course Total","28","",".",".",".",".",".",".",".","85.7","7.1",".",".","7.1","",".",".",".","."
"SPANISH
912","Dept. Total","3155","3.268","35.8","19.9","25.5","5.9","8.0","1.5","1.2","1.8","0.1",".",".","0.1","",".","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","441","3.106","24.3","21.5","30.8","7.7","11.8","1.8","1.8",".",".",".",".",".","",".","0.2",".","."
"Sophomore","","922","3.242","30.6","20.6","32.5","6.9","6.4","2.1","0.8","0.1",".",".",".",".","",".",".",".","."
"Junior","","705","3.278","37.3","21.1","23.8","5.2","8.7","1.4","1.3","1.0",".",".",".",".","",".",".",".","0.1"
"Senior","","917","3.327","42.5","18.6","20.1","5.2","8.5","1.2","1.4","2.0",".",".",".",".","",".","0.3",".","0.1"
"Undergraduates","","2985","3.251","34.9","20.3","26.4","6.1","8.4","1.6","1.2","0.9",".",".",".",".","",".","0.1",".","0.1"
"Special","","14","3.424","57.1","14.3","7.1",".","7.1",".","7.1","7.1",".",".",".",".","",".",".",".","."
"Graduate","","153","3.722","51.6","13.7","9.2","2.6","0.7",".",".","19.6","1.3",".",".","1.3","",".",".",".","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","3","3.600","66.7",".","33.3",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","3155","3.268","35.8","19.9","25.5","5.9","8.0","1.5","1.2","1.8","0.1",".",".","0.1","",".","0.1",".","0.1"
