"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"399
Junior Independent Study","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"470
Engr Prob Solving with Comptrs","001","","28","3.981","92.9","3.6",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"497
Technical Editing","001","","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"499","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","","7","3.833","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"518
Quality Engr & Quality Mgmnt","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"519
Engr/Bus Data Communications","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","Course Total","","5","***","","","","","","","","","","","","","","","",""
"597
Tech&Professnl Communicatn","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"617
Communicating Technical Info","001","","29","3.759","62.1","31.0","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"623
Engine Design II","001","","11","3.409","36.4","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"630
Rsch-Japanese Technical Lit","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"690","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","003","","11","3.762","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","004","","42","3.702","54.8","31.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","97","3.742","77.3","10.3","5.2","4.1","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"690","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","013","","16","3.728","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","014","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","016","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","204","3.762","74.0","14.2","7.8","2.0","0.5","0.5","0.5",".",".",".",".",".","0.5",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
