"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Assess&Treat Chld&Adolescnt","742
001","26","3.712","53.8","34.6","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
001","14","3.963","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
003","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
008","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
013","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
014","10","3.840","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
015","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Field Pract/Integrat Smr IV","Course Total","108","3.948","88.9","10.2",".",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"Grief, Death, Loss and Life","825
001","26","3.920","84.6","7.7","3.8",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Administration-Social Work","841
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","23","3.955","87.0","8.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","860
001","30","3.810","60.0","36.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"Recent Developmnts-Soc Work","862
001","15","3.893","73.3","20.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","867
001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","867
002","26","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","867
003","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","Course Total","72","3.910","83.3","15.3","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","873
001","15","3.893","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","935
001","16","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","935
002","26","3.760","61.5","23.1","11.5",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Com Mental Health Services","Course Total","42","3.683","57.1","19.0","21.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Ethicl Behav-Soc Work Pract","940
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Research Seminar","947
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","949
001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","13","",".",".",".",".",".",".",".","84.6",".",".",".","15.4",".",".",".","."
"Soc Work Applicatns of Rsch","991
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 304 of 408",""
