"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","26","2.654","3.8","11.5","30.8","26.9","23.1","3.8",".",".",".",".",".",".",".",".",".","."
"","002
224","83","2.982","19.3","12.0","42.2","6.0","16.9","3.6",".",".",".",".",".",".",".",".",".","."
"","003
224","66","2.826","16.7","12.1","34.8","7.6","24.2","1.5","3.0",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","175","2.874","16.0","12.0","37.7","9.7","20.6","2.9","1.1",".",".",".",".",".",".",".",".","."
"","301
001","138","3.453","54.3","12.3","15.2","8.7","8.0","1.4",".",".",".",".",".",".",".",".",".","."
"","301
002","136","3.596","61.8","11.0","16.9","5.9","2.9",".","0.7","0.7",".",".",".",".",".",".",".","."
"","003
301","92","2.908","26.1","12.0","29.3","8.7","15.2","4.3","4.3",".",".",".",".",".",".",".",".","."
"","301
004","131","2.758","19.1","16.8","21.4","14.5","14.5","9.2","3.8",".",".",".",".",".",".",".","0.8","."
"","301
005","84","3.054","27.4","23.8","17.9","10.7","11.9","4.8","2.4",".",".",".",".",".",".",".","1.2","."
"","301
006","139","3.626","64.7","12.2","12.9","5.0","4.3","0.7",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","720","3.271","44.6","14.2","18.3","8.8","8.9","3.2","1.7","0.1",".",".",".",".",".",".","0.3","."
"Intro to Math Statistics","310
001","29","3.500","34.5","34.5","20.7","6.9",".",".",".","3.4",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","54","2.778","16.7","11.1","33.3","7.4","25.9","1.9","3.7",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","68","3.299","33.8","19.1","30.9","7.4","4.4","2.9",".","1.5",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","72","2.951","16.7","22.2","26.4","23.6","4.2","4.2","2.8",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","19","3.079","31.6","5.3","26.3","21.1","15.8",".",".",".",".",".",".",".",".",".",".","."
"","371
001","147","2.784","20.4","11.6","23.1","9.5","28.6","4.1","2.0",".",".",".",".",".",".",".",".","0.7"
"","371
002","137","3.055","21.2","33.6","18.2","12.4","6.6","4.4","3.6",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","284","2.915","20.8","22.2","20.8","10.9","18.0","4.2","2.8",".",".",".",".",".",".",".",".","0.4"
"Intro-Survey Theory & Meths","411
001","20","3.450","35.0","40.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","21","3.548","38.1","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","8","3.250","50.0","12.5",".","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Phamacy","441
001","120","3.313","40.8","5.8","39.2","5.0","8.3","0.8",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials I","542
001","6","3.500","16.7","33.3","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","42","3.762","61.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","16","3.406","37.5","43.8","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Statistics","692
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
114","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
138","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","3.386","57.1",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","710
001","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lg Sample Thry-Stat Inference","732
001","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Survival Anal Thry & Mthds","741
001","28","3.839","75.0","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Non Parametric Statistics","809
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability","832
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry&Appl-Regres&Anal VarII","850
001","34","3.606","41.2","38.2","14.7","2.9",".",".",".",".",".",".",".",".",".",".","2.9","."
