"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","102
001","13","2.808","15.4","23.1","15.4",".","46.2",".",".",".",".",".",".",".",".",".",".","."
"","102
002","20","2.675","10.0","25.0","20.0","10.0","20.0","15.0",".",".",".",".",".",".",".",".",".","."
"","102
003","13","3.115","23.1","15.4","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","Course Total","55","2.945","21.8","20.0","21.8","9.1","21.8","5.5",".",".",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202
001","19","2.594","15.8","5.3","15.8","10.5","26.3","10.5",".","5.3","5.3",".",".",".",".",".",".","5.3"
"Intro-Luso-Brazilian Lits","221
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226
001","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312
001","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Brazilian Civilization","362
001","14","3.903","64.3","14.3",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Survey-Brazil Lit pre 1890","412
001","9","3.563","33.3","33.3","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772
001","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Independent Reading","899
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PORTUG
782","Dept. Total","150","3.232","37.3","18.7","17.3","4.7","12.0","3.3",".","4.0","0.7",".",".",".","0.7","0.7",".","0.7"
