"230
HDFS","","","","","","","","","","","","","","","","","","","","","",""
"","999
007","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
025","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"HDFS
230","Dept. Total","906","3.399","43.3","20.5","15.2","9.2","5.2","1.7","0.7","3.6","0.2",".","",".","",".","",".","0.1","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","2.000","50.0",".",".",".",".",".","50.0",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","123","3.140","23.6","22.0","28.5","15.4","5.7","2.4","0.8",".",".",".","",".","",".","",".",".",".","1.6"
"Junior","","275","3.271","38.9","19.6","17.8","11.6","7.3","3.3","0.7","0.7",".",".","",".","",".","",".",".",".","."
"Senior","","439","3.530","51.3","22.8","12.3","6.6","4.3","0.7","0.5","1.6",".",".","",".","",".","",".",".",".","."
"Undergraduates","","839","3.384","43.1","21.6","16.4","9.5","5.5","1.8","0.7","1.1",".",".","",".","",".","",".",".",".","0.2"
"Special","","12","3.550","50.0","16.7",".","8.3","8.3",".",".",".",".",".","",".","",".","",".","8.3","8.3","."
"Graduate","","55","3.829","43.6","5.5",".","3.6",".",".",".","43.6","3.6",".","",".","",".","",".",".",".","."
"","Dept. Total","906","3.399","43.3","20.5","15.2","9.2","5.2","1.7","0.7","3.6","0.2",".","",".","",".","",".","0.1","0.1","0.2"
