"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","68","3.646","47.1","38.2","8.8",".",".",".","1.5","4.4",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204
001","80","3.737","67.5","22.5","6.3",".","2.5",".","1.3",".",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214
001","21","3.429","38.1","33.3","14.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215
001","12","3.500","50.0","8.3","16.7","16.7",".",".",".","8.3",".",".",".",".",".",".",".","."
"Chekhov in Translation","220
001","11","3.676","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222
001","25","3.313","48.0","12.0","16.0","8.0","8.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226
001","21","3.476","28.6","38.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234
001","30","3.464","43.3","13.3","33.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257
001","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262
001","18","3.500","38.9","38.9","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264
001","18","2.875","11.1","16.7","27.8","16.7","11.1","5.6",".","11.1",".",".",".",".",".",".",".","."
"Fr Womn Writrs Mid Ages-19c","268
001","18","3.389","33.3","27.8","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","274
001","110","3.236","17.3","40.9","20.9","7.3","10.9",".","0.9","1.8",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","275
001","230","3.415","42.6","26.5","16.5","7.0","3.5","3.0","0.4",".",".",".",".",".",".",".",".","0.4"
"Scandinavian Children's Lit","319
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326
001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","18","3.000","27.8","33.3","16.7",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337
001","31","3.339","35.5","32.3","19.4","3.2","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"In Trans:Woman in Scand Lit","343
001","22","3.318","13.6","45.5","36.4",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Class Japanese Prose-Transl","372
001","29","2.948","20.7","17.2","34.5","13.8","6.9",".","6.9",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373
001","19","3.333","21.1","21.1","52.6",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","815","3.427","39.9","28.1","18.5","5.4","4.5","1.0","1.2","1.2",".",".",".",".",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","91","3.263","28.6","31.9","18.7","8.8","7.7","2.2","1.1",".",".",".",".",".",".",".",".","1.1"
"Sophomore","","201","3.447","41.8","28.4","18.4","5.0","4.5","0.5","1.5",".",".",".",".",".",".",".",".","."
"Junior","","217","3.534","45.2","30.9","16.1","3.2","3.7",".","0.9",".",".",".",".",".",".",".",".","."
"Senior","","302","3.384","38.4","25.2","20.2","6.3","4.3","1.7","1.3","2.6",".",".",".",".",".",".",".","."
"Undergraduates","","811","3.427","40.0","28.2","18.5","5.4","4.6","1.0","1.2","1.0",".",".",".",".",".",".",".","0.1"
"Special","","3","3.000",".",".","33.3",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","815","3.427","39.9","28.1","18.5","5.4","4.5","1.0","1.2","1.2",".",".",".",".",".",".",".","0.1"
