"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"200
Race,Ethnicty&Inequal-Am Ed","001","","34","3.103","8.8","23.5","50.0","14.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"300","001","","31","3.726","67.7","22.6","6.5",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"300","002","","25","3.760","52.0","48.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","34","3.439","50.0","11.8","26.5","2.9","2.9",".","2.9",".",".",".",".",".",".",".","2.9","."
"300","004","","27","3.241","22.2","33.3","37.0",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","117","3.539","48.7","27.4","17.9","0.9","1.7","0.9","1.7",".",".",".",".",".",".",".","0.9","."
"399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","51","3.210","15.7","43.1","21.6","9.8","3.9","3.9",".","2.0",".",".",".",".",".",".",".","."
"550
Philos of Moral Education","001","","29","3.481","27.6","55.2","6.9",".",".",".","3.4","6.9",".",".",".",".",".",".",".","."
"570
Anthropology and Education","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Hist-Rad&Expermntl Ed in US&UK","001","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Hist: Higher Ed-Europe&Amer","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"750
African Ed-Past,Pres&Future","001","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"780","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","003","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"780","004","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Educ Policy","Course Total","","45","3.886","80.0","13.3","4.4",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"830
Financng Elem&Secondry Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"903
Hist of Educ-Multiculturl Amer","001","","9","3.625","22.2","66.7",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"970
Smr-Anthropology&Education","001","","12","3.545","66.7","16.7",".",".",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","30","",".",".",".",".",".",".",".","76.7","3.3",".",".","16.7",".",".","3.3","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 90 of 408"
