"","988
008","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","988
013","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Clin Elect Rheumtol-CSC/VAH","Course Total","6","3.667","66.7",".","33.3",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Research","990
218","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MEDICINE
632","Dept. Total","363","3.493","34.2","26.2","15.7","0.8","",".","",".","",".","21.8","",".",".","",".","",".","0.3",".","0.6","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","3.929","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","12","3.964","91.7","8.3",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","10","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","28","3.973","92.9","7.1",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","11","3.500",".","18.2",".",".","",".","",".","",".","81.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","110","3.307","23.6","30.0","41.8","1.8","",".","",".","",".",".","",".",".","",".","",".","0.9",".",".","1.8"
"Prof Yr 4","","212","3.679","33.5","27.4","5.2","0.5","",".","",".","",".","32.5","",".",".","",".","",".",".",".","0.9","."
"Professionals","","333","3.461","29.1","27.9","17.1","0.9","",".","",".","",".","23.4","",".",".","",".","",".","0.3",".","0.6","0.6"
"","Dept. Total","363","3.493","34.2","26.2","15.7","0.8","",".","",".","",".","21.8","",".",".","",".","",".","0.3",".","0.6","0.6"
