"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","92","3.643","57.6","26.1","8.7","3.3","2.2",".","1.1",".",".",".",".",".",".",".",".","1.1"
"300","002","","73","3.799","75.3","15.1","6.8",".",".",".","1.4",".",".",".",".",".","1.4",".",".","."
"Individls with Disabilities","Course Total","","165","3.712","65.5","21.2","7.9","1.8","1.2",".","1.2",".",".",".",".",".","0.6",".",".","0.6"
"330
Behav Anal:Person-Disabilty","001","","24","3.854","83.3","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"450
Families-Individs w/ Disabils","001","","24","3.625","45.8","41.7","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","32","3.844","78.1","12.5","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Meth&Curric:Lrn&Bhv Disabl,K-9","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472
Mth&Curric:Lrn&Bhv Dis, 6-12","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Diagnosis&Assessmt:Lrn&Bhv Dis","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"477","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"477","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"477","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","4","***","","","","","","","","","","","","","","","",""
"478","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"478","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","","15","3.966","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"479
Lang&Readng: Learn&Behav Disab","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","19","3.763","73.7","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"550
Rehab Psych-Medical Aspects","001","","17","3.638","41.2","35.3","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"610
Multiculturl Issues-Special Ed","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","019","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","021","","19","3.881","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","40","3.944","95.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"660","025","","7","3.357","57.1","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","3.500","72.7","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"690","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"725
Career Couns & Job Placemnt","001","","18","3.781","66.7","5.6","16.7",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"802
Spec St-Indiv w/Disablties","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues-Special Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"820
Rehab Cnslg Psy-Theor & Iss","001","","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 76 of 408"
