"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
170","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
005","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","","50","3.820","68.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","","50","3.250","28.0","22.0","28.0","16.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","","91","3.412","40.7","30.8","13.2","9.9","3.3",".","2.2",".",".",".",".",".",".",".",".","."
"","252
001","","21","2.190","4.8",".","42.9","19.0","9.5","4.8","19.0",".",".",".",".",".",".",".",".","."
"","252
002","","35","2.757","20.0","8.6","31.4","17.1","14.3",".","8.6",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","","56","2.545","14.3","5.4","35.7","17.9","12.5","1.8","12.5",".",".",".",".",".",".",".",".","."
"","270
001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
006","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","","55","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","","27","3.815","70.4","22.2","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","7","3.900","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","28.6",".","."
"Intro Microprocessor Lab","Course Total","","21","3.789","57.1","28.6","4.8",".",".",".",".",".",".",".",".",".",".","9.5",".","."
"Sensors Laboratory","317
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","","26","3.038","15.4","23.1","34.6","15.4","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","","15","3.567","46.7","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","","41","2.720","22.0","4.9","24.4","7.3","34.1","7.3",".",".",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","","25","3.120","28.0","20.0","28.0","12.0","8.0",".","4.0",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","","41","2.780","24.4",".","29.3",".","46.3",".",".",".",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","","16","3.031","25.0","18.8","12.5","25.0","18.8",".",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","","32","3.328","37.5","15.6","31.3","6.3","9.4",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 115 of 408",""
