"COMPARATIVE LITERATURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Mod & Contemp Lit","202
001","221","3.434","22.2","52.5","15.4","8.6","0.9",".",".","0.5",".","",".",".","",".","",".","",".",".","."
"Intro Cross-Cultrl Lit Form","203
001","91","3.389","23.1","51.6","18.7","1.1","1.1","1.1","2.2","1.1",".","",".",".","",".","",".","",".",".","."
"Novel and Short Story","354
001","19","3.508","47.4","26.3","10.5","10.5","5.3",".",".",".",".","",".",".","",".","",".","",".",".","."
"Literary Periods","377
002","13","3.890","69.2","23.1",".",".",".",".",".","7.7",".","",".",".","",".","",".","",".",".","."
"Literature & The Other Arts","466
001","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Senior Honors Thesis","682
012","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Senior Thesis","691
008","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
003","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
008","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
012","18","3.866","83.3","5.6","11.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","24","3.899","87.5","4.2","8.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Teaching in the Discipline","731
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Literature and Ideas","768
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Seminar-Genre and Mode","974
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","990
003","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
011","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"Independent Work","999
012","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"COMP LIT
260","Dept. Total","415","3.512","33.5","43.9","13.7","5.3","1.0","0.2","0.5","1.2","",".","0.2","",".","",".","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","73","3.404","26.0","45.2","19.2","5.5","2.7","1.4",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","153","3.541","30.7","51.6","11.8","4.6","0.7",".",".","0.7","",".",".","",".","",".","",".",".",".","."
"Junior","","84","3.357","17.9","50.0","23.8","7.1",".",".","1.2",".","",".",".","",".","",".","",".",".",".","."
"Senior","","65","3.558","44.6","36.9","6.2","7.7","1.5",".","1.5","1.5","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","375","3.476","29.3","47.5","14.9","5.9","1.1","0.3","0.5","0.5","",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","39","3.912","74.4","10.3","2.6",".",".",".",".","5.1","",".","2.6","",".","",".","",".",".","5.1","."
"","Dept. Total","415","3.512","33.5","43.9","13.7","5.3","1.0","0.2","0.5","1.2","",".","0.2","",".","",".","",".",".","0.5","."
